vessel_type,speed_kn,cargo_load_t,distance_nm,fuel_type,weather,fuel_consumption_l
Container,17.67,5666.8,2068.9,LNG,Calm,456.7
Panamax,20.92,8220.1,1684.6,Methanol,Rough,631.8
Feeder,12.53,2861.6,1506.4,Methanol,Calm,50.0
Ro-Ro,13.36,6646.2,644.0,Hydrogen,Calm,50.0
Tanker,11.61,6795.1,1942.9,Conventional (HFO/MGO),Calm,112.5
Tanker,18.75,7207.1,445.0,Hydrogen,Calm,109.8
Panamax,17.78,2677.2,1188.0,Conventional (HFO/MGO),Moderate,181.0
Handymax,17.24,5020.1,1664.9,Conventional (HFO/MGO),Calm,176.6
Tanker,14.4,8763.5,2109.0,LNG,Calm,255.7
Handymax,15.0,4596.7,367.1,Conventional (HFO/MGO),Calm,50.0
Feeder,14.77,2839.3,1798.9,Ammonia,Moderate,53.3
Tanker,10.98,8635.4,1783.5,Conventional (HFO/MGO),Calm,97.3
Ro-Ro,18.81,5459.9,995.8,Hydrogen,Calm,151.2
Feeder,16.94,1970.9,658.1,Hydrogen,Calm,50.0
Tanker,10.95,2532.5,1368.6,Ammonia,Calm,68.7
Panamax,12.44,8431.0,489.3,LNG,Calm,50.0
Handymax,10.19,1588.1,508.0,Conventional (HFO/MGO),Calm,50.0
Container,16.33,5452.7,1184.3,Hydrogen,Rough,213.1
Container,14.0,4672.8,661.2,Conventional (HFO/MGO),Moderate,76.6
Panamax,14.74,5571.0,358.4,Conventional (HFO/MGO),Moderate,50.0
Handymax,10.89,5249.2,2000.4,Ammonia,Rough,78.0
Container,19.07,9878.4,425.8,Hydrogen,Moderate,119.4
Tanker,14.17,6096.9,1461.1,Ammonia,Calm,175.9
Handymax,13.75,2509.4,903.4,Methanol,Calm,50.0
Handymax,16.17,2843.8,2095.2,LNG,Rough,216.8
Ro-Ro,15.82,7030.8,1487.8,LNG,Moderate,159.4
Ro-Ro,13.59,6303.3,564.9,Hydrogen,Moderate,50.0
Tanker,10.86,9366.9,323.2,Hydrogen,Rough,50.0
Tanker,17.21,8099.3,1754.4,Ammonia,Moderate,394.6
Feeder,14.72,966.1,1413.1,LNG,Calm,50.0
Feeder,13.73,1854.3,1716.0,Methanol,Moderate,50.0
Panamax,20.31,2366.3,390.1,Methanol,Calm,83.0
Ro-Ro,17.97,5158.9,834.0,Methanol,Rough,135.2
Container,16.01,6321.7,473.1,LNG,Calm,86.4
Container,16.22,9405.0,1283.6,Methanol,Rough,305.9
Container,16.14,13850.3,1621.4,Methanol,Rough,475.4
Panamax,17.37,2677.8,1355.9,Ammonia,Moderate,218.5
Feeder,16.6,1527.0,1090.0,Methanol,Calm,50.0
Container,20.59,3461.6,2193.9,Ammonia,Rough,836.4
Ro-Ro,11.96,7994.3,1514.7,Ammonia,Moderate,90.3
Ro-Ro,11.26,2748.6,443.2,Ammonia,Moderate,50.0
Feeder,15.25,686.8,161.1,Ammonia,Calm,50.0
Tanker,12.15,10554.3,267.3,Ammonia,Moderate,50.0
Feeder,15.58,3046.3,232.3,Hydrogen,Calm,50.0
Container,21.36,3890.0,1656.0,Hydrogen,Calm,489.6
Feeder,17.84,2412.3,261.7,Hydrogen,Moderate,50.0
Panamax,18.1,2708.0,338.0,Ammonia,Calm,50.8
Container,20.62,9927.8,1323.4,Methanol,Calm,583.3
Container,18.36,9117.8,1480.9,LNG,Rough,458.3
Handymax,13.64,3765.7,394.4,Methanol,Calm,50.0
Feeder,13.42,2410.8,1451.0,LNG,Calm,50.0
Tanker,15.29,4536.3,223.9,LNG,Calm,50.0
Feeder,14.58,2284.2,1589.1,LNG,Moderate,50.0
Container,20.66,8950.4,1034.4,LNG,Moderate,463.3
Tanker,16.63,10909.5,2038.2,Methanol,Moderate,459.4
Panamax,14.14,7829.2,1163.0,Hydrogen,Calm,106.4
Tanker,10.5,4244.9,835.0,Ammonia,Calm,50.0
Feeder,10.12,2585.2,1905.9,Hydrogen,Calm,50.0
Panamax,12.2,3935.5,2114.8,Hydrogen,Rough,127.5
Handymax,16.19,4968.1,945.1,LNG,Moderate,87.5
Ro-Ro,15.73,2317.0,490.1,LNG,Moderate,50.0
Tanker,17.55,11907.1,440.3,Methanol,Calm,109.6
Panamax,18.55,4923.2,1112.1,Conventional (HFO/MGO),Calm,199.1
Panamax,11.45,3090.3,748.7,Ammonia,Moderate,50.0
Ro-Ro,11.76,2764.5,1879.4,Methanol,Moderate,71.2
Handymax,16.87,1478.9,901.5,Hydrogen,Moderate,72.2
Tanker,14.34,9778.8,1896.6,Ammonia,Moderate,279.8
Panamax,19.5,4252.3,1172.6,Methanol,Moderate,260.0
Feeder,17.34,2114.0,513.9,LNG,Calm,50.0
Panamax,20.27,5027.1,780.4,Conventional (HFO/MGO),Moderate,198.3
Handymax,16.33,4242.1,2162.7,LNG,Moderate,204.7
Tanker,18.13,9318.7,2124.6,Hydrogen,Moderate,483.0
Feeder,15.86,1656.2,1283.9,Conventional (HFO/MGO),Moderate,50.0
Feeder,12.31,2754.5,1687.5,Ammonia,Calm,50.0
Panamax,18.77,5325.8,2170.4,Conventional (HFO/MGO),Moderate,416.6
Panamax,18.94,2142.8,1288.7,Methanol,Moderate,239.8
Handymax,10.33,3238.1,249.8,Ammonia,Calm,50.0
Ro-Ro,17.96,7138.9,1665.8,Hydrogen,Moderate,244.2
Tanker,15.6,8865.0,159.2,LNG,Moderate,50.0
Container,16.41,10998.1,1526.8,Conventional (HFO/MGO),Calm,270.2
Container,21.39,5269.9,1360.2,LNG,Calm,450.7
Container,14.06,3214.2,851.0,Ammonia,Moderate,102.4
Container,15.26,6316.2,430.5,Ammonia,Moderate,63.8
Feeder,17.32,1792.6,425.5,LNG,Calm,50.0
Handymax,10.16,3375.7,1450.8,LNG,Calm,50.0
Tanker,16.77,6326.9,733.3,Ammonia,Rough,144.4
Container,22.0,7483.6,1671.8,LNG,Moderate,697.4
Feeder,11.93,1374.0,468.7,LNG,Rough,50.0
Feeder,16.34,2481.2,1048.7,Methanol,Moderate,50.0
Container,20.96,12908.6,1764.6,Hydrogen,Calm,736.7
Panamax,17.53,8678.5,1201.1,Conventional (HFO/MGO),Calm,229.8
Tanker,10.93,2794.4,654.4,Ammonia,Calm,50.0
Panamax,14.13,2166.9,378.8,Methanol,Calm,50.0
Tanker,11.86,4416.6,958.0,Hydrogen,Calm,50.7
Panamax,19.63,1808.9,1191.7,Conventional (HFO/MGO),Moderate,225.8
Handymax,17.03,5237.8,683.7,Methanol,Calm,66.3
Tanker,16.15,3826.0,828.0,Methanol,Rough,135.5
Handymax,16.4,2082.4,247.1,Methanol,Calm,50.0
Feeder,11.51,787.6,376.8,Conventional (HFO/MGO),Moderate,50.0
Feeder,14.72,3078.4,159.7,Methanol,Rough,50.0
Handymax,16.96,5748.6,671.2,Conventional (HFO/MGO),Rough,84.9
Tanker,18.86,5870.7,1817.0,Hydrogen,Calm,424.1
Feeder,11.73,1859.3,801.2,Hydrogen,Calm,50.0
Ro-Ro,11.17,2326.7,1636.6,LNG,Moderate,52.8
Ro-Ro,19.01,5400.5,408.4,LNG,Calm,61.5
Feeder,14.06,2980.3,158.2,Conventional (HFO/MGO),Calm,50.0
Container,13.4,11014.1,1954.8,Methanol,Moderate,233.7
Panamax,11.51,5405.2,754.2,LNG,Moderate,50.0
Panamax,16.96,3080.2,1941.5,Conventional (HFO/MGO),Calm,236.7
Panamax,14.96,5936.8,1637.8,Methanol,Moderate,183.4
Ro-Ro,14.77,4281.7,175.6,Ammonia,Moderate,50.0
Handymax,10.85,5926.2,959.8,Methanol,Moderate,50.0
Handymax,11.61,2157.8,1910.9,Ammonia,Rough,71.9
Handymax,16.6,5416.2,927.1,Methanol,Moderate,105.9
Container,20.61,9183.3,364.5,Hydrogen,Rough,153.4
Tanker,10.9,3635.2,1674.4,Hydrogen,Calm,74.1
Tanker,16.47,10920.7,959.0,LNG,Calm,210.5
Container,16.5,8177.0,2067.5,Methanol,Moderate,444.3
Handymax,13.55,1829.3,483.9,LNG,Moderate,50.0
Feeder,11.95,837.4,1694.7,Ammonia,Rough,50.0
Handymax,11.67,4014.5,1110.3,LNG,Calm,50.0
Feeder,17.67,2166.0,1165.8,Methanol,Calm,50.0
Feeder,16.12,3154.8,1998.4,LNG,Rough,84.5
Handymax,10.65,1861.4,774.2,Ammonia,Moderate,50.0
Ro-Ro,16.55,5071.1,488.9,Ammonia,Calm,56.8
Feeder,14.67,2758.4,756.9,Ammonia,Calm,50.0
Feeder,16.18,1279.1,2080.2,Hydrogen,Calm,58.5
Ro-Ro,13.38,6140.3,518.0,Conventional (HFO/MGO),Calm,50.0
Panamax,18.1,7048.5,1942.9,LNG,Calm,343.5
Ro-Ro,13.2,2303.0,2077.0,LNG,Rough,111.0
Panamax,15.91,5614.2,1250.0,Methanol,Calm,164.0
Handymax,18.57,3513.7,2104.1,Conventional (HFO/MGO),Calm,259.1
Tanker,12.28,2688.5,393.9,LNG,Rough,50.0
Tanker,14.19,5203.6,1240.4,Hydrogen,Calm,95.9
Feeder,15.93,2012.5,463.4,Ammonia,Rough,50.0
Container,15.77,10026.8,1426.6,Conventional (HFO/MGO),Moderate,267.7
Ro-Ro,19.31,4403.1,1460.0,LNG,Calm,217.0
Panamax,11.62,5099.5,414.5,LNG,Calm,50.0
Handymax,18.3,2959.6,1638.7,LNG,Moderate,188.1
Container,17.2,13440.7,852.6,Methanol,Calm,241.0
Tanker,10.36,6716.5,1979.6,Ammonia,Moderate,114.2
Handymax,15.94,2872.9,2092.4,Methanol,Calm,179.8
Handymax,15.06,4655.0,1193.3,Methanol,Rough,114.1
Panamax,14.42,4212.2,1052.1,Hydrogen,Calm,82.2
Panamax,17.56,6572.9,190.5,Hydrogen,Calm,50.0
Feeder,16.89,1390.7,1519.1,Hydrogen,Calm,50.0
Ro-Ro,13.55,5918.3,2016.2,Conventional (HFO/MGO),Calm,137.6
Container,22.48,8256.6,673.0,Hydrogen,Moderate,295.4
Ro-Ro,14.6,5238.4,197.6,Ammonia,Calm,50.0
Tanker,14.0,11385.0,1900.7,Hydrogen,Calm,230.9
Ro-Ro,16.69,3271.0,650.6,Methanol,Rough,79.5
Panamax,20.78,7163.9,1717.6,Ammonia,Moderate,597.2
Container,14.64,10022.0,743.1,Methanol,Calm,123.2
Handymax,11.97,5117.1,1914.2,Methanol,Calm,77.8
Feeder,16.38,2614.0,433.6,LNG,Moderate,50.0
Feeder,17.99,1239.3,465.6,LNG,Calm,50.0
Tanker,18.83,2557.1,432.9,Ammonia,Moderate,95.6
Handymax,15.97,1881.6,1856.7,Ammonia,Calm,143.9
Container,17.51,8987.2,1488.0,Methanol,Rough,452.7
Feeder,15.82,3434.7,802.6,Conventional (HFO/MGO),Moderate,50.0
Panamax,17.72,3861.4,1764.3,Conventional (HFO/MGO),Moderate,268.4
Tanker,12.89,9588.7,1792.8,Methanol,Moderate,193.2
Panamax,19.79,2491.9,464.7,Conventional (HFO/MGO),Moderate,95.4
Container,12.01,6588.6,1738.0,Conventional (HFO/MGO),Calm,127.6
Ro-Ro,12.51,2222.4,1914.6,Ammonia,Moderate,84.9
Handymax,10.83,3351.3,1662.5,Ammonia,Calm,50.0
Panamax,18.5,4573.9,904.2,Methanol,Calm,158.1
Container,13.31,3763.0,511.4,Hydrogen,Calm,50.0
Feeder,17.92,929.3,1489.8,LNG,Calm,53.0
Panamax,20.76,7186.3,544.2,Ammonia,Calm,149.5
Tanker,16.61,7837.6,1279.4,LNG,Moderate,266.0
Handymax,10.45,4428.1,1146.7,Conventional (HFO/MGO),Calm,50.0
Panamax,19.27,5840.8,940.0,Hydrogen,Calm,185.1
Feeder,14.51,2594.6,285.5,LNG,Calm,50.0
Container,19.11,4726.0,1975.0,Ammonia,Moderate,661.3
Tanker,10.54,3721.4,1350.8,Ammonia,Calm,56.8
Feeder,10.79,1096.8,1016.6,LNG,Calm,50.0
Container,15.52,6840.5,263.3,Ammonia,Calm,50.0
Tanker,11.85,10928.3,2055.8,Hydrogen,Calm,140.3
Feeder,14.96,892.7,1897.4,Conventional (HFO/MGO),Moderate,50.0
Ro-Ro,19.97,1647.4,972.6,Methanol,Calm,137.3
Feeder,16.45,1177.0,2156.2,Methanol,Moderate,78.3
Ro-Ro,16.26,2419.5,808.2,LNG,Calm,77.9
Ro-Ro,16.3,3895.5,987.8,Ammonia,Calm,106.3
Handymax,18.4,3079.2,825.0,Ammonia,Moderate,113.2
Handymax,15.93,3861.1,807.5,Methanol,Calm,67.3
Container,13.83,9341.9,947.6,Conventional (HFO/MGO),Calm,110.0
Ro-Ro,13.32,6891.5,2051.4,Hydrogen,Moderate,132.8
Tanker,18.51,6167.9,2044.0,Conventional (HFO/MGO),Moderate,525.7
Container,19.48,9101.9,204.4,Conventional (HFO/MGO),Moderate,65.8
Panamax,15.66,1635.0,1762.6,Methanol,Calm,173.8
Tanker,15.09,4995.3,479.2,LNG,Moderate,58.8
Panamax,20.65,7766.9,1904.1,Methanol,Calm,503.5
Tanker,13.37,3370.6,1812.5,Ammonia,Moderate,182.9
Container,18.68,7559.8,908.5,Ammonia,Calm,262.1
Tanker,17.54,4275.2,772.8,Hydrogen,Rough,145.9
Tanker,14.17,9025.2,485.0,Methanol,Moderate,67.4
Ro-Ro,11.36,4555.1,1220.6,Hydrogen,Calm,50.0
Container,15.79,3329.4,2092.0,Conventional (HFO/MGO),Calm,304.1
Handymax,10.73,4328.0,1936.4,Ammonia,Moderate,58.5
Feeder,10.29,2196.9,2186.8,Methanol,Rough,50.0
Panamax,14.02,7379.1,242.5,Hydrogen,Rough,50.0
Tanker,10.54,8677.7,469.3,Conventional (HFO/MGO),Moderate,50.0
Tanker,13.58,5560.1,279.4,Methanol,Rough,50.0
Ro-Ro,13.57,7772.0,343.3,Conventional (HFO/MGO),Rough,50.0
Container,22.73,10484.7,2083.9,Ammonia,Calm,1077.0
Panamax,16.43,8272.2,2142.2,Methanol,Moderate,312.7
Handymax,13.48,3180.3,952.6,Methanol,Calm,50.0
Container,16.91,11334.6,1405.1,Hydrogen,Calm,280.4
Tanker,18.78,3749.6,1207.3,LNG,Rough,272.0
Feeder,10.39,968.6,279.8,LNG,Calm,50.0
Handymax,14.83,4204.7,563.8,Ammonia,Moderate,50.0
Container,22.44,6696.5,335.7,Ammonia,Calm,173.0
Container,16.16,11432.7,1258.0,Ammonia,Calm,300.4
Panamax,17.73,4382.5,618.7,Hydrogen,Moderate,93.0
Ro-Ro,12.69,2000.9,1170.2,Ammonia,Moderate,53.7
Tanker,18.95,7068.3,1129.8,Methanol,Calm,316.0
Ro-Ro,13.05,4970.6,254.2,Methanol,Rough,50.0
Handymax,14.28,1613.7,1835.5,Ammonia,Moderate,108.9
Tanker,15.74,8849.8,1443.7,Methanol,Calm,227.2
Ro-Ro,19.65,3973.8,1021.4,Hydrogen,Moderate,166.2
Feeder,13.68,1117.2,1677.7,Hydrogen,Calm,50.0
Handymax,16.73,5494.5,708.8,Hydrogen,Calm,59.8
Ro-Ro,12.78,3464.5,1235.3,Conventional (HFO/MGO),Rough,78.6
Panamax,12.75,3889.2,1130.7,Hydrogen,Calm,61.6
Panamax,12.27,5121.5,1595.3,LNG,Calm,83.1
Panamax,18.48,6816.5,1068.9,Hydrogen,Moderate,187.6
Handymax,11.59,3443.9,953.7,LNG,Calm,50.0
Panamax,13.73,2437.7,1049.6,LNG,Calm,63.1
Tanker,16.87,9440.0,1170.8,LNG,Moderate,200.2
Container,18.75,12765.5,2012.6,Ammonia,Moderate,781.9
Ro-Ro,11.14,4654.1,1163.3,Conventional (HFO/MGO),Calm,50.0
Ro-Ro,18.53,2295.4,611.6,Methanol,Moderate,83.5
Ro-Ro,18.86,7295.4,794.4,Ammonia,Calm,146.0
Ro-Ro,19.45,3805.7,1291.9,Hydrogen,Calm,193.8
Panamax,11.58,7675.5,975.9,Conventional (HFO/MGO),Moderate,54.4
Ro-Ro,12.58,5947.1,692.7,Conventional (HFO/MGO),Rough,50.0
Panamax,19.14,3493.8,716.2,Hydrogen,Rough,154.1
Feeder,13.46,1207.3,1740.4,Methanol,Moderate,50.0
Ro-Ro,12.92,1424.1,1320.9,Ammonia,Rough,72.9
Panamax,16.19,6783.6,332.5,LNG,Calm,50.0
Feeder,11.51,1247.4,990.6,LNG,Moderate,50.0
Container,19.59,11836.7,994.3,Hydrogen,Calm,298.5
Feeder,15.84,2411.0,350.5,LNG,Moderate,50.0
Panamax,15.64,3452.4,1781.9,Conventional (HFO/MGO),Rough,223.0
Container,15.02,5653.0,426.8,LNG,Rough,77.7
Tanker,17.62,6232.3,222.0,LNG,Calm,50.0
Handymax,11.9,6070.5,1894.5,Hydrogen,Moderate,80.1
Container,21.54,5335.7,1418.8,Conventional (HFO/MGO),Moderate,539.0
Feeder,17.51,2739.4,1054.5,Hydrogen,Rough,52.7
Tanker,17.38,9593.8,740.1,Hydrogen,Calm,139.2
Panamax,16.05,5995.0,960.0,Methanol,Moderate,135.8
Ro-Ro,17.63,5939.0,1222.3,LNG,Calm,163.6
Handymax,16.5,6072.9,2167.6,Ammonia,Calm,231.4
Container,22.85,3850.6,995.4,Methanol,Rough,586.7
Container,16.21,11807.8,1961.2,Hydrogen,Calm,342.1
Panamax,17.06,5814.3,1850.7,LNG,Calm,240.9
Tanker,15.07,7157.8,263.2,Hydrogen,Calm,50.0
Ro-Ro,14.57,7648.9,254.3,Conventional (HFO/MGO),Moderate,50.0
Container,20.21,10902.8,592.6,Ammonia,Moderate,229.5
Ro-Ro,13.08,1774.0,2115.0,LNG,Moderate,108.5
Handymax,14.78,3485.4,1071.5,Hydrogen,Moderate,68.7
Feeder,16.49,1439.0,1336.1,Ammonia,Calm,50.0
Panamax,20.22,3725.8,496.7,Ammonia,Calm,116.8
Panamax,11.71,7934.9,301.8,Conventional (HFO/MGO),Calm,50.0
Ro-Ro,17.97,4933.1,1958.5,Methanol,Moderate,265.3
Tanker,14.03,5722.2,1108.7,Hydrogen,Calm,106.8
Ro-Ro,12.38,3176.7,1876.2,LNG,Calm,85.3
Container,12.86,11368.3,780.7,Ammonia,Calm,90.1
Container,15.25,9170.9,744.2,Ammonia,Moderate,154.6
Handymax,15.61,2002.4,1571.8,Hydrogen,Moderate,102.4
Container,16.92,7381.2,327.8,Conventional (HFO/MGO),Calm,68.4
Ro-Ro,13.13,6910.4,1268.9,Hydrogen,Moderate,72.6
Container,18.82,11308.5,1158.2,Methanol,Moderate,354.5
Tanker,10.65,7350.6,1137.3,Hydrogen,Rough,71.1
Container,22.58,6725.5,520.8,Methanol,Calm,212.7
Container,16.75,11415.5,1653.6,Conventional (HFO/MGO),Calm,380.9
Tanker,18.47,4006.7,1434.6,Conventional (HFO/MGO),Calm,317.8
Panamax,18.6,3460.9,2006.9,Methanol,Moderate,394.4
Handymax,18.99,2464.5,738.1,Ammonia,Calm,97.2
Container,22.93,13891.1,1229.9,Methanol,Moderate,721.6
Handymax,11.83,3737.0,1857.3,Ammonia,Calm,72.0
Panamax,20.85,7399.1,1786.8,Ammonia,Calm,483.8
Container,18.17,8461.6,1455.2,Methanol,Calm,439.6
Ro-Ro,13.98,2414.2,536.9,LNG,Rough,50.0
Feeder,16.07,1929.6,193.4,LNG,Calm,50.0
Panamax,13.75,2267.6,262.6,Hydrogen,Moderate,50.0
Feeder,11.24,2055.8,1061.6,Ammonia,Calm,50.0
Handymax,18.04,1357.3,516.1,Ammonia,Rough,66.5
Ro-Ro,12.83,5095.9,1635.9,Conventional (HFO/MGO),Moderate,81.7
Tanker,12.7,5817.9,887.3,Methanol,Calm,71.1
Feeder,15.69,751.6,1050.3,LNG,Moderate,50.0
Container,20.92,10771.1,360.7,Hydrogen,Moderate,139.0
Ro-Ro,11.38,2652.1,1082.5,LNG,Calm,50.0
Feeder,17.41,1263.8,2055.6,Ammonia,Calm,86.3
Container,12.13,9725.0,2138.9,Ammonia,Rough,225.6
Panamax,11.78,7038.7,1408.3,Methanol,Moderate,83.6
Container,13.69,11085.4,303.8,Methanol,Moderate,50.0
Container,17.61,5397.3,2137.4,Methanol,Moderate,505.3
Tanker,11.98,6853.7,2082.3,Conventional (HFO/MGO),Moderate,154.8
Tanker,13.4,10576.5,645.5,Ammonia,Moderate,77.2
Feeder,15.54,3464.5,458.7,LNG,Calm,50.0
Tanker,10.64,5802.4,1695.2,LNG,Calm,68.7
Feeder,14.16,2622.6,1065.1,Ammonia,Rough,50.0
Panamax,19.85,4731.3,440.4,Conventional (HFO/MGO),Calm,89.7
Feeder,12.29,1091.4,1054.2,Conventional (HFO/MGO),Calm,50.0
Panamax,11.32,6223.6,916.1,LNG,Moderate,50.0
Handymax,12.23,3391.4,957.8,Conventional (HFO/MGO),Moderate,50.0
Tanker,15.34,2174.7,1206.0,Methanol,Calm,132.4
Ro-Ro,18.05,6677.5,195.7,Conventional (HFO/MGO),Moderate,50.0
Tanker,17.09,7058.8,2054.8,LNG,Rough,419.9
Handymax,14.92,1904.4,839.4,Methanol,Rough,63.9
Feeder,16.74,1377.4,1133.6,Methanol,Rough,50.0
Feeder,10.41,2869.0,694.9,Conventional (HFO/MGO),Moderate,50.0
Container,22.23,7223.2,2140.8,Methanol,Calm,914.9
Ro-Ro,15.03,2965.1,1903.7,Ammonia,Calm,135.4
Tanker,11.68,4411.2,213.7,Ammonia,Calm,50.0
Ro-Ro,12.63,5179.0,690.1,Hydrogen,Calm,50.0
Panamax,15.67,4401.4,1897.9,Hydrogen,Moderate,213.6
Feeder,12.74,693.6,1163.9,Ammonia,Calm,50.0
Ro-Ro,12.18,5918.9,2070.7,Hydrogen,Moderate,85.6
Handymax,18.94,2839.4,483.9,Hydrogen,Moderate,55.5
Ro-Ro,16.52,1690.4,2051.7,Conventional (HFO/MGO),Calm,190.9
Tanker,12.16,5029.5,217.3,Conventional (HFO/MGO),Calm,50.0
Tanker,13.47,4712.1,822.2,LNG,Calm,67.7
Panamax,18.57,7941.2,2053.5,LNG,Moderate,409.8
Tanker,16.97,9741.7,1880.8,LNG,Rough,485.7
Feeder,16.45,1563.7,2054.9,Hydrogen,Calm,67.4
Handymax,10.84,4712.4,220.1,Hydrogen,Moderate,50.0
Ro-Ro,18.71,2226.5,715.6,Hydrogen,Calm,90.0
Container,14.92,7198.6,1021.5,Methanol,Rough,202.1
Tanker,13.83,4622.5,1180.1,Ammonia,Calm,113.5
Handymax,11.37,2889.3,1309.9,Methanol,Calm,50.0
Tanker,18.73,9933.3,2133.6,LNG,Moderate,594.8
Tanker,11.53,10255.0,1347.5,Methanol,Calm,101.7
Tanker,15.07,9322.0,270.6,Conventional (HFO/MGO),Moderate,50.0
Feeder,14.1,1220.5,1509.0,Conventional (HFO/MGO),Calm,50.0
Panamax,12.86,4127.5,1354.7,Ammonia,Moderate,97.6
Handymax,10.94,6498.8,1083.5,Conventional (HFO/MGO),Rough,50.0
Ro-Ro,11.79,2329.7,2055.7,Ammonia,Rough,100.9
Panamax,15.52,4796.4,539.6,LNG,Rough,73.0
Handymax,10.6,1501.5,1490.1,Hydrogen,Calm,50.0
Handymax,18.55,5192.3,1946.3,Conventional (HFO/MGO),Calm,254.9
Tanker,14.83,5249.9,274.3,LNG,Calm,50.0
Container,14.17,5733.2,1435.3,LNG,Calm,170.1
Ro-Ro,17.95,3521.7,1354.4,Methanol,Rough,197.1
Feeder,16.35,864.4,1029.7,Ammonia,Moderate,50.0
Ro-Ro,11.84,5196.9,409.5,Methanol,Moderate,50.0
Feeder,16.95,2109.5,1405.5,Hydrogen,Moderate,50.0
Container,12.4,7739.4,593.4,Ammonia,Rough,66.0
Handymax,11.69,3062.9,1592.7,Methanol,Calm,53.1
Handymax,16.88,2338.9,749.2,Ammonia,Rough,83.6
Container,15.38,6150.2,231.0,Hydrogen,Moderate,50.0
Tanker,16.57,9591.0,1700.8,Conventional (HFO/MGO),Moderate,283.2
Tanker,12.92,6173.7,1033.9,Methanol,Moderate,92.9
Container,12.87,7108.5,520.4,Ammonia,Calm,58.2
Panamax,18.64,5373.3,2034.5,Conventional (HFO/MGO),Calm,372.8
Feeder,10.64,1230.6,2171.4,Methanol,Calm,50.0
Feeder,13.98,2325.2,922.3,Methanol,Moderate,50.0
Ro-Ro,17.21,6262.1,907.6,Methanol,Moderate,108.9
Panamax,11.69,7040.7,740.5,Conventional (HFO/MGO),Moderate,50.0
Tanker,17.52,3253.7,198.7,Ammonia,Calm,50.0
Ro-Ro,15.93,3787.0,1780.8,LNG,Moderate,152.8
Tanker,11.35,8645.6,256.1,Ammonia,Moderate,50.0
Feeder,15.48,1437.3,1008.1,Hydrogen,Calm,50.0
Panamax,14.27,3999.5,664.2,Methanol,Calm,61.9
Ro-Ro,16.42,2456.2,1572.4,Ammonia,Moderate,159.2
Handymax,10.08,1545.7,1712.6,Conventional (HFO/MGO),Rough,50.0
Handymax,10.65,4042.2,1700.0,Hydrogen,Calm,50.0
Panamax,20.91,3654.8,538.5,Methanol,Calm,142.9
Container,20.71,11234.4,1979.7,Methanol,Moderate,824.4
Container,15.27,5565.9,2060.5,Methanol,Moderate,304.3
Handymax,14.84,3833.0,369.9,Methanol,Calm,50.0
Feeder,17.45,1046.8,555.9,Conventional (HFO/MGO),Moderate,50.0
Feeder,15.81,892.1,1568.3,Ammonia,Moderate,50.0
Feeder,15.75,2006.8,811.0,Ammonia,Moderate,50.0
Feeder,15.31,1649.1,1700.0,Methanol,Rough,58.9
Feeder,14.32,1755.3,1321.7,LNG,Calm,50.0
Tanker,15.27,7258.7,1626.4,Methanol,Moderate,226.6
Ro-Ro,15.84,5479.7,357.4,Hydrogen,Calm,50.0
Tanker,16.11,3267.9,1364.2,Ammonia,Calm,203.7
Tanker,15.34,6730.9,844.1,Ammonia,Calm,103.7
